1,-9000
2,-7500
3,-10500
4,-11000
5,-11000
6,-9000
7,-10000
8,-8500
9,-10520
10,-4980
11,-11020
12,-9480
13,-9000
14,-9500
15,-8000
16,-10500
17,-7000
18,-10000
19,-7520
20,-9500
21,-4980
22,-10000
23,-9000
24,-7500
25,-6000
26,-8000
27,-9500
28,-10020
29,-10480
30,-8000
31,-8500
32,-8500
33,-8000
34,-10500
35,-5000
36,-7500
37,-9500
38,-9500
39,-11000
40,-6520
41,-8480
42,-11000
43,-9000
44,-6020
45,-6480
46,-8000
47,-4000
48,-10000
49,-6000
50,-9500
51,-10000
52,-5000
53,-6000
54,-10000
55,-6000
56,-5500
57,-4000
58,-5500
59,-6000
60,-1000
61,-8500
62,-8500
63,-8000
64,-7500
65,-10000
66,-8020
67,-7480
68,-9520
69,-5980
70,-3500
71,-3500
72,-4000
73,-10500
74,-5500
75,-9500
76,-4500
77,-6000
78,-6500
79,-5500
80,-9000
81,-6500
82,-8000
83,-7000
84,-7020
85,-6980
86,-7000
87,-10000
88,-8500
89,-5000
90,-6500
91,-5000
92,-8000
93,-4500
94,-5000
95,-8500
96,-3500
97,-5020
98,-2480
99,-7500
100,-6000
101,-2500
102,-2000
